seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31008,0.0,True,-0.13007284079084286,-0.14620187304890742,-0.11394380853277836,retrieval,2000,0.05,0.02
31009,0.0,True,-0.11115173674588674,-0.12358318098720289,-0.09945155393053007,retrieval,2000,0.05,0.02
31010,0.0,True,-0.12648893930799765,-0.14350538854225753,-0.11060692002268863,retrieval,2000,0.05,0.02
31011,0.0,True,-0.12890094979647215,-0.14721845318860238,-0.11058344640434192,retrieval,2000,0.05,0.02
31012,0.0,True,-0.13082811412665274,-0.1482254697286013,-0.1127348643006264,retrieval,2000,0.05,0.02
31013,0.0,True,-0.12687585266030016,-0.14529331514324695,-0.10845839017735337,retrieval,2000,0.05,0.02
31014,0.0,True,-0.12317327766179542,-0.14265831593597772,-0.10508002783576897,retrieval,2000,0.05,0.02
31015,0.0,True,-0.133764832793959,-0.14994606256742182,-0.1175836030204962,retrieval,2000,0.05,0.02
31016,0.0,True,-0.1130193905817174,-0.12908587257617732,-0.09750692520775617,retrieval,2000,0.05,0.02
31017,0.0,True,-0.12685774946921446,-0.14225053078556266,-0.11093418259023358,retrieval,2000,0.05,0.02
31018,0.0,True,-0.12712397734424163,-0.14411579609817504,-0.10887350534927631,retrieval,2000,0.05,0.02
31019,0.0,True,-0.10547759167043913,-0.11905839746491631,-0.09234947940244453,retrieval,2000,0.05,0.02
31020,0.0,True,-0.129556926528323,-0.14638250140213122,-0.11273135165451487,retrieval,2000,0.05,0.02
31001,0.2,False,0.014473684210526305,0.008552631578947367,0.021052631578947323,tie,2000,0.05,0.02
31002,0.2,False,0.004232804232804255,0.0010582010582010914,0.007407407407407418,tie,2000,0.05,0.02
31003,0.2,False,0.002666666666666706,0.0,0.005333333333333412,tie,2000,0.05,0.02
31004,0.2,False,0.0029623360135421217,0.0008463817181548761,0.00550148116800675,tie,2000,0.05,0.02
31005,0.2,False,0.005218525766470972,0.000652315720808927,0.009784735812133016,tie,2000,0.05,0.02
31006,0.2,False,0.008673026886383273,0.0008673026886383273,0.01647875108412844,tie,2000,0.05,0.02
31007,0.2,False,0.004022988505747116,-0.0005747126436781436,0.008620689655172376,tie,2000,0.05,0.02
31008,0.2,False,0.005393743257820938,0.0021574973031283085,0.00916936353829556,tie,2000,0.05,0.02
31009,0.2,False,0.003426124197002167,-0.0008565310492505418,0.007708779443254876,tie,2000,0.05,0.02
31010,0.2,False,0.0031055900621117516,-0.002484472049689379,0.008695652173912993,tie,2000,0.05,0.02
31011,0.2,False,0.006259780907668322,0.0007824726134585402,0.011737089201877993,tie,2000,0.05,0.02
31012,0.2,False,0.0005309264666844005,-0.0013273161667110012,0.002389169100079691,tie,2000,0.05,0.02
31013,0.2,False,0.002220248667850866,0.000444049733570151,0.004440497335701621,tie,2000,0.05,0.02
31014,0.2,False,0.0028368794326241176,-0.0009456264775413725,0.006619385342789608,tie,2000,0.05,0.02
31015,0.2,False,0.005034612964128438,0.0012586532410321372,0.009439899307740696,tie,2000,0.05,0.02
31016,0.2,False,0.004126547455295726,0.0018340210912425325,0.00687757909215958,tie,2000,0.05,0.02
31017,0.2,False,0.0017182130584192379,-0.0012886597938144284,0.004725085910652904,tie,2000,0.05,0.02
31018,0.2,False,0.0020847810979847115,-0.0020847810979847115,0.006254343293954134,tie,2000,0.05,0.02
31019,0.2,False,0.006162464985994376,0.001680672268907557,0.010644257703081195,tie,2000,0.05,0.02
31020,0.2,False,0.00462962962962965,-0.0015432098765432167,0.01157407407407407,tie,2000,0.05,0.02
31001,0.2,True,-0.13421052631578945,-0.15328947368421053,-0.11578947368421044,retrieval,2000,0.05,0.02
31002,0.2,True,-0.13544973544973538,-0.1523809523809524,-0.11957671957671956,retrieval,2000,0.05,0.02
31003,0.2,True,-0.12586666666666668,-0.1418666666666667,-0.11093333333333333,retrieval,2000,0.05,0.02
31004,0.2,True,-0.14388489208633093,-0.15869657215404154,-0.12949640287769792,retrieval,2000,0.05,0.02
31005,0.2,True,-0.13307240704500978,-0.15264187866927592,-0.11545988258317019,retrieval,2000,0.05,0.02
31006,0.2,True,-0.13790112749349526,-0.1578490893321769,-0.11621856027753685,retrieval,2000,0.05,0.02
31007,0.2,True,-0.15574712643678157,-0.17471264367816097,-0.13793103448275856,retrieval,2000,0.05,0.02
31008,0.2,True,-0.11542610571736789,-0.13106796116504849,-0.10032362459546929,retrieval,2000,0.05,0.02
31009,0.2,True,-0.12976445396145608,-0.14518201284796572,-0.11434689507494644,retrieval,2000,0.05,0.02
31010,0.2,True,-0.1167701863354037,-0.1341614906832298,-0.09999999999999998,retrieval,2000,0.05,0.02
